# 1D z+ on top wall (simple), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 26.Re10595_j257_toptauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on top wall (simple)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "d_n" "z_plus"
ZONE T="top_zplus_1d_simple", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
   0 -4.157677122000000e-09 3.035713191000000e+00 3.988187195500491e-03 6.315209573324145e-02 8.875016000000180e-03 5.938241737399915e+00
   1 4.531623283000000e-02 3.035713191000000e+00 3.994353717933288e-03 6.320089966079034e-02 8.875005000000158e-03 5.942823443734169e+00
   2 8.935215292000000e-02 3.035713191000000e+00 3.999004221163985e-03 6.323768039044431e-02 8.875033000000254e-03 5.946300720770275e+00
   3 1.299316683000000e-01 3.035713191000000e+00 4.002010677483982e-03 6.326144700750989e-02 8.874982000000031e-03 5.948501335929997e+00
   4 1.660501841000000e-01 3.035713191000000e+00 4.003614834606825e-03 6.327412452659321e-02 8.875038000000224e-03 5.949730950358814e+00
   5 2.033456740000000e-01 3.035713191000000e+00 4.004195558689316e-03 6.327871331410995e-02 8.876165000000213e-03 5.950918022353934e+00
   6 2.416774740000000e-01 3.035713191000000e+00 4.003446088472474e-03 6.327279105960534e-02 8.880270000000134e-03 5.953112966245320e+00
   7 2.808909266000000e-01 3.035713191000000e+00 4.001364225923972e-03 6.325633743684479e-02 8.887633000000061e-03 5.956499592305801e+00
   8 3.209641077000000e-01 3.035713191000000e+00 3.997817184198764e-03 6.322829417435491e-02 8.898376999999957e-03 5.961056359488146e+00
   9 3.620735149000000e-01 3.035713191000000e+00 3.992687273570599e-03 6.318771457784020e-02 8.913345000000295e-03 5.967251268315709e+00
  10 4.041994022000000e-01 3.035713191000000e+00 3.985832787700704e-03 6.313345220800701e-02 8.933204000000305e-03 5.975410562624009e+00
  11 4.470777966000000e-01 3.035713191000000e+00 3.977191488141430e-03 6.306497830128406e-02 8.958547000000205e-03 5.985863212099262e+00
  12 4.906375533000000e-01 3.035713191000000e+00 3.966660592440534e-03 6.298143053663147e-02 8.989989000000254e-03 5.998914086084485e+00
  13 5.348332419000000e-01 3.035713191000000e+00 3.954191993692076e-03 6.288236631753036e-02 9.028176000000165e-03 6.014919981006095e+00
  14 5.794396247000000e-01 3.035713191000000e+00 3.939751755309110e-03 6.276744184136478e-02 9.073857000000185e-03 6.034305876200724e+00
  15 6.240382170000000e-01 3.035713191000000e+00 3.923566437569781e-03 6.263837831210017e-02 9.126380000000101e-03 6.056755108220606e+00
  16 6.684711816000000e-01 3.035713191000000e+00 3.905751594030958e-03 6.249601262505439e-02 9.185120000000158e-03 6.081883613238671e+00
  17 7.125892688000000e-01 3.035713191000000e+00 3.886547305060984e-03 6.234217918120110e-02 9.249500000000133e-03 6.109437085235513e+00
  18 7.560029274000000e-01 3.035713191000000e+00 3.866107316441409e-03 6.217802921001444e-02 9.319481000000351e-03 6.139452460696881e+00
  19 7.987681529000000e-01 3.035713191000000e+00 3.844681972608400e-03 6.200549953518962e-02 9.393981000000107e-03 6.171359543585674e+00
  20 8.408644102000000e-01 3.035713191000000e+00 3.822374518024518e-03 6.182535497693901e-02 9.472386000000110e-03 6.204788277308457e+00
  21 8.822830455000000e-01 3.035713191000000e+00 3.799401541363052e-03 6.163928569802746e-02 9.554244000000267e-03 6.239573236895896e+00
  22 9.229650340000000e-01 3.035713191000000e+00 3.775806706854288e-03 6.144759317381185e-02 9.639999000000010e-03 6.275998435844570e+00
  23 9.629375763000000e-01 3.035713191000000e+00 3.751776566117174e-03 6.125174745358025e-02 9.728933000000328e-03 6.313710388617979e+00
  24 1.002252761000000e+00 3.035713191000000e+00 3.727384557940878e-03 6.105231001314265e-02 9.820361000000055e-03 6.352292898036511e+00
  25 1.040881335000000e+00 3.035713191000000e+00 3.702801116318061e-03 6.085064598110739e-02 9.913853000000028e-03 6.391585885848398e+00
  26 1.078659453000000e+00 3.035713191000000e+00 3.678168829776805e-03 6.064790870076894e-02 1.000913600000031e-02 6.431516396965434e+00
  27 1.115475285000000e+00 3.035713191000000e+00 3.653626630470387e-03 6.044523662349571e-02 1.010562999999998e-02 6.471820097759756e+00
  28 1.151527242000000e+00 3.035713191000000e+00 3.629208508125155e-03 6.024291251363230e-02 1.020258700000021e-02 6.512042526389319e+00
  29 1.186835638000000e+00 3.035713191000000e+00 3.604976975219583e-03 6.004146046874262e-02 1.029952199999995e-02 6.551930444190334e+00
  30 1.221392582000000e+00 3.035713191000000e+00 3.581009066674721e-03 5.984153295725905e-02 1.039606600000020e-02 6.591324594716612e+00
  31 1.255131339000000e+00 3.035713191000000e+00 3.557328231478674e-03 5.964334188724400e-02 1.049226900000022e-02 6.630287293747715e+00
  32 1.288367356000000e+00 3.035713191000000e+00 3.533850643077813e-03 5.944619956799436e-02 1.058809600000021e-02 6.668726808988307e+00
  33 1.321143278000000e+00 3.035713191000000e+00 3.510542915688452e-03 5.924983473131762e-02 1.068361000000007e-02 6.706657533804706e+00
  34 1.353498845000000e+00 3.035713191000000e+00 3.487432517648407e-03 5.905448770117650e-02 1.077888200000032e-02 6.744155650942882e+00
  35 1.385332370000000e+00 3.035713191000000e+00 3.464536676490690e-03 5.886031495405618e-02 1.087408800000000e-02 6.781353530669514e+00
  36 1.416810412000000e+00 3.035713191000000e+00 3.441815637103843e-03 5.866698933049013e-02 1.096922000000022e-02 6.818212139096889e+00
