# 1D z+ on bottom wall (n-projection), 2nd-order FD pipeline
# generated by 12.phase3_compute_zplus_spanavg_2nd.py
# source tau   : 25.Re10595_j257_bottomtauwall_spanavg_2nd.dat
# Re           = 10595
# z_plus(j) = Re * u_tau_local(j) * d_n(j)
TITLE     = "1D z+ on bottom wall (n-projection)"
VARIABLES = "j" "y" "z" "tau_local" "u_tau_local" "dy_step" "dz_step" "n_y" "n_z" "d_n_proj" "z_plus_proj"
ZONE T="bottom_zplus_1d_n-projection", I=257, F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE SINGLE)
   0 -4.157677122000000e-09 9.999996597000000e-01 1.205763554207637e-04 1.098072654339246e-02 -3.326159491800000e-08 8.875016299999983e-03 -5.621194665822627e-09 1.000000000000000e+00 8.875016300000170e-03 1.032526476184305e+00
   1 2.460930753000000e-02 1.000002018000000e+00 1.120663171319970e-04 1.058613797057251e-02 5.517440000001733e-06 8.875006000000019e-03 1.573661639910856e-04 9.999999876179451e-01 8.875006758367575e-03 9.954219277285624e-01
   2 4.921882892000000e-02 9.999955990000000e-01 1.030433496387637e-04 1.015102702384166e-02 1.549288000000232e-05 8.875033999999893e-03 -1.574733053882873e-05 9.999999998760108e-01 8.875033754927982e-03 9.545110457906586e-01
   3 7.382791061000001e-02 1.000007405000000e+00 9.530024628702459e-05 9.762184503840551e-03 4.499540999999829e-05 8.874982000000031e-03 -7.703494964430449e-04 9.999997032807826e-01 8.874944704430881e-03 9.179385910216610e-01
   4 9.843774676000000e-02 9.999944522000001e-01 8.760990028678601e-05 9.360016040947045e-03 1.232959600000055e-04 8.875038799999957e-03 2.912085384024793e-03 9.999957598703687e-01 8.875360217047988e-03 8.801638808379718e-01
   5 1.230483191000000e-01 9.997359873000000e-01 8.766707500506706e-05 9.363069742614707e-03 2.792595999999981e-04 8.876165700000049e-03 2.250150188935992e-02 9.997468091535592e-01 8.880202096510340e-03 8.809313567584897e-01
   6 1.476634449000000e-01 9.987944598000000e-01 1.032758557720061e-04 1.016247291617577e-02 5.021402000000008e-04 8.880270199999929e-03 5.340147842927365e-02 9.985731230618857e-01 8.894414176306096e-03 9.576740314069219e-01
   7 1.722795540000000e-01 9.971055958000000e-01 1.266156913015234e-04 1.125236380950791e-02 7.729314000000098e-04 8.887633199999967e-03 8.332842201132716e-02 9.965221392849746e-01 8.921130403529138e-03 1.063566412836800e+00
   8 1.968872289000000e-01 9.946412402000000e-01 1.552177078653935e-04 1.245863988826202e-02 1.094811700000003e-03 8.898376799999941e-03 1.177341349654400e-01 9.930451517750537e-01 8.965386648357101e-03 1.183424668717129e+00
   9 2.214969322000000e-01 9.912078622000000e-01 1.941470002488638e-04 1.393366427932236e-02 1.472387800000002e-03 8.913344800000056e-03 1.591878446209775e-01 9.872483122927724e-01 9.034070851011839e-03 1.333674340772708e+00
  10 2.461399280000000e-01 9.866527575000000e-01 2.379518691814310e-04 1.542568861287661e-02 1.891018400000000e-03 8.933203799999956e-03 2.049607779058663e-01 9.787701872861790e-01 9.131138158689869e-03 1.492349125051732e+00
  11 2.707766866000000e-01 9.808397236000000e-01 2.840842411409811e-04 1.685479875705970e-02 2.365660800000002e-03 8.958546699999959e-03 2.548263634953287e-01 9.669868274530665e-01 9.265629390950551e-03 1.654624527071163e+00
  12 2.953763621000000e-01 9.736275884000000e-01 3.254008636779968e-04 1.803887090917823e-02 2.906003599999984e-03 8.989989500000073e-03 3.080577813241474e-01 9.513676488958638e-01 9.448002195749551e-03 1.805719538303048e+00
  13 3.199417887000000e-01 9.648684695000000e-01 3.562217688500332e-04 1.887383821192799e-02 3.508507499999980e-03 9.028175899999935e-03 3.636845218734776e-01 9.315221782382104e-01 9.685935952512659e-03 1.936880299907004e+00
  14 3.446337983000000e-01 9.543903477000000e-01 3.730432480791825e-04 1.931432753370364e-02 4.054303300000006e-03 9.073857000000074e-03 4.160138411348371e-01 9.093582814184069e-01 9.938033296315098e-03 2.033672427183722e+00
  15 3.692676980000000e-01 9.423429214000000e-01 3.737070366596174e-04 1.933150373508531e-02 4.612901800000013e-03 9.126379899999981e-03 4.611250947639065e-01 8.873351379151952e-01 1.022528234689455e-02 2.094314538722309e+00
  16 3.938410221000000e-01 9.288692654000000e-01 3.656007642356592e-04 1.912068942887937e-02 5.165894900000023e-03 9.185120099999944e-03 4.991704840410744e-01 8.665037956421192e-01 1.053760368781700e-02 2.134746791620049e+00
  17 4.183660776000000e-01 9.141020351000000e-01 3.528153830938127e-04 1.878338050229012e-02 5.717689000000026e-03 9.249500500000063e-03 5.313720543263056e-01 8.471385600248884e-01 1.087382868444847e-02 2.163999737676669e+00
  18 4.430417763000000e-01 8.980500772000000e-01 3.388325591612514e-04 1.840740500888844e-02 6.139841999999951e-03 9.319481100000027e-03 5.583379270183118e-01 8.296136204600877e-01 1.115967511068032e-02 2.176431887719339e+00
  19 4.676711647000000e-01 8.809615671000000e-01 3.209438156343408e-04 1.791490484580761e-02 6.554845800000042e-03 9.393981500000037e-03 5.808929490430771e-01 8.139799639745667e-01 1.145417643023243e-02 2.174099094443712e+00
  20 4.922557309000000e-01 8.629774995000000e-01 3.012414659760250e-04 1.735630911156013e-02 6.947720999999962e-03 9.472385699999974e-03 5.992029418042121e-01 8.005971736979703e-01 1.174666008163193e-02 2.160094438778390e+00
  21 5.168398415000000e-01 8.442011575000000e-01 2.802268844339989e-04 1.673997862704726e-02 7.349777599999996e-03 9.554244299999959e-03 6.142015718052865e-01 7.891491805684876e-01 1.205396901463539e-02 2.137892831048135e+00
  22 5.416955829000000e-01 8.245309155000000e-01 2.616343649331245e-04 1.617511560802965e-02 7.636699400000002e-03 9.639999999999982e-03 6.264800537430240e-01 7.794374524374216e-01 1.229801689202805e-02 2.107576947542495e+00
  23 5.667358940000000e-01 8.041316534000000e-01 2.441616749475309e-04 1.562567358380210e-02 7.883745300000022e-03 9.728933599999934e-03 6.362113913550220e-01 7.715147863198131e-01 1.252174469392523e-02 2.073025066565570e+00
  24 5.919124225000000e-01 7.831604584000000e-01 2.297638179902426e-04 1.515796219781019e-02 8.119759199999965e-03 9.820360999999944e-03 6.434139934693683e-01 7.655184080136804e-01 1.274203381172121e-02 2.046352912183461e+00
  25 6.172452153000000e-01 7.617156424000000e-01 2.171488202061693e-04 1.473597028383843e-02 8.332239000000019e-03 9.913853100000036e-03 6.484680066269412e-01 7.612419092386344e-01 1.295003087682465e-02 2.021857307511311e+00
  26 6.427906661000000e-01 7.398598598000000e-01 2.043945869960466e-04 1.429666349173983e-02 8.474939800000025e-03 1.000913660000002e-02 6.513031015745832e-01 7.588176789449019e-01 1.311486438045238e-02 1.986549815529671e+00
  27 6.685458241000000e-01 7.177265919000000e-01 1.904138458360290e-04 1.379905235282586e-02 8.557542500000070e-03 1.010563019999999e-02 6.519102669239411e-01 7.582961188606705e-01 1.324180997468919e-02 1.935965326175789e+00
  28 6.944568620000000e-01 6.954870812000000e-01 1.770559093756435e-04 1.330623573275490e-02 8.614665399999999e-03 1.020258699999999e-02 6.502708618767513e-01 7.597024458260400e-01 1.335279619209078e-02 1.882471433258837e+00
  29 7.205540355000000e-01 6.732523284000000e-01 1.669221468316032e-04 1.291983540265135e-02 8.632646800000088e-03 1.029952299999992e-02 6.464633588850386e-01 7.629450344678009e-01 1.343865977663309e-02 1.839559760509375e+00
  30 7.468488122000000e-01 6.511075781000000e-01 1.612879265648168e-04 1.269991836843122e-02 8.633971800000029e-03 1.039606609999999e-02 6.419872696621277e-01 7.667152963074145e-01 1.351372288251478e-02 1.818347565205004e+00
  31 7.733484166000000e-01 6.290409798000000e-01 1.603297109294183e-04 1.266213690217486e-02 8.618604699999977e-03 1.049226900000000e-02 6.378115343166797e-01 7.701924737963899e-01 1.357811210422311e-02 1.821576252397871e+00
  32 8.000334510000000e-01 6.070605712000000e-01 1.632140458369953e-04 1.277552526657888e-02 8.607731500000049e-03 1.058809610000000e-02 6.338035913888870e-01 7.734940255377212e-01 1.364544021358053e-02 1.847001623624098e+00
  33 8.269036235000000e-01 5.851519229000000e-01 1.690946981464159e-04 1.300364172631713e-02 8.603215800000008e-03 1.068361070000001e-02 6.301020666178224e-01 7.765123216304743e-01 1.371685940319230e-02 1.889820882440947e+00
  34 8.539572785000000e-01 5.632989385000000e-01 1.768806574689882e-04 1.329964877239201e-02 8.611558199999925e-03 1.077888210000000e-02 6.266730798607445e-01 7.792822665618980e-01 1.379642337348547e-02 1.944050965009397e+00
  35 8.812284852000000e-01 5.414610666000000e-01 1.861146309529058e-04 1.364238362431235e-02 8.608796099999982e-03 1.087408779999999e-02 6.234992279582899e-01 7.818239653115122e-01 1.386920016494185e-02 2.004668816906574e+00
  36 9.086960703000000e-01 5.196399846999999e-01 1.968192968695306e-04 1.402923008826680e-02 8.614269299999977e-03 1.096922020000002e-02 6.206129172641685e-01 7.841170875098045e-01 1.394727979584988e-02 2.073119384044169e+00
  37 9.363517508000000e-01 4.978266235000000e-01 2.098015023331334e-04 1.448452630682596e-02 8.630673900000052e-03 1.106431879999997e-02 6.180278875334925e-01 7.861561741987967e-01 1.403227969633128e-02 2.153443544084221e+00
  38 9.641923819000000e-01 4.760059041000000e-01 2.253124097995968e-04 1.501041004768347e-02 8.663258899999970e-03 1.115944980000000e-02 6.157893549368257e-01 7.879108263924846e-01 1.412739392368514e-02 2.246754252537960e+00
  39 9.922512458000000e-01 4.541319904000000e-01 2.429005179918729e-04 1.558526605457452e-02 8.692308199999998e-03 1.125481260000000e-02 6.139117378050631e-01 7.893746754141328e-01 1.422057407557109e-02 2.348185005263459e+00
  40 1.020525628000000e+00 4.321875300000000e-01 2.616097296291479e-04 1.617435407146597e-02 8.721136999999990e-03 1.135048290000001e-02 6.124064512615948e-01 7.905430655272235e-01 1.431392610811653e-02 2.452938603124936e+00
